State_Name,Diocese,Diocese_Detail,County_Name,Population,Percent_Catholic
Florida,Venice,Venice,DeSoto County,,
Florida,Venice,Venice,Glades County,,
Florida,Venice,Venice,Hardee County,,
Florida,Venice,Venice,Hendry County,,
Florida,Venice,Venice,Highlands County,,
Florida,Venice,Venice,Lee County,,
Florida,Venice,Venice,Manatee County,,
Florida,Venice,Venice,Sarasota County,,
Georgia,Atlanta,Atlanta,Baldwin County,,
Georgia,Atlanta,Atlanta,Banks County,,
Georgia,Atlanta,Atlanta,Barrow County,,
Georgia,Atlanta,Atlanta,Bartow County,,
Georgia,Atlanta,Atlanta,Butts County,,
Georgia,Atlanta,Atlanta,Carroll County,,
Georgia,Atlanta,Atlanta,Catoosa County,,
Georgia,Atlanta,Atlanta,Chattooga County,,
Georgia,Atlanta,Atlanta,Cherokee County,,
Georgia,Atlanta,Atlanta,Clarke County,,
Georgia,Atlanta,Atlanta,Clayton County,,
Georgia,Atlanta,Atlanta,Cobb County,,
Georgia,Atlanta,Atlanta,Coweta County,,
Georgia,Atlanta,Atlanta,Dade County,,
Georgia,Atlanta,Atlanta,Dawson County,,
Georgia,Atlanta,Atlanta,DeKalb County,,
Georgia,Atlanta,Atlanta,Douglas County,,
Georgia,Atlanta,Atlanta,Elbert County,,
Georgia,Atlanta,Atlanta,Fannin County,,
Georgia,Atlanta,Atlanta,Fayette County,,
Georgia,Atlanta,Atlanta,Floyd County,,
Georgia,Atlanta,Atlanta,Forsyth County,,
Georgia,Atlanta,Atlanta,Franklin County,,
Georgia,Atlanta,Atlanta,Fulton County,,
Georgia,Atlanta,Atlanta,Gilmer County,,
Georgia,Atlanta,Atlanta,Gordon County,,
Georgia,Atlanta,Atlanta,Greene County,,
Georgia,Atlanta,Atlanta,Gwinnett County,,
Georgia,Atlanta,Atlanta,Habersham County,,
Georgia,Atlanta,Atlanta,Hall County,,
Georgia,Atlanta,Atlanta,Hancock County,,
Georgia,Atlanta,Atlanta,Haralson County,,
Georgia,Atlanta,Atlanta,Hart County,,
Georgia,Atlanta,Atlanta,Heard County,,
Georgia,Atlanta,Atlanta,Henry County,,
Georgia,Atlanta,Atlanta,Jackson County,,
Georgia,Atlanta,Atlanta,Jasper County,,
Georgia,Atlanta,Atlanta,Lamar County,,
Georgia,Atlanta,Atlanta,Lincoln County,,
Georgia,Atlanta,Atlanta,Lumpkin County,,
Georgia,Atlanta,Atlanta,Madison County,,
Georgia,Atlanta,Atlanta,McDuffie County,,
Georgia,Atlanta,Atlanta,Meriwether County,,
Georgia,Atlanta,Atlanta,Monroe County,,
Georgia,Atlanta,Atlanta,Morgan County,,
Georgia,Atlanta,Atlanta,Murray County,,
Georgia,Atlanta,Atlanta,Newton County,,
Georgia,Atlanta,Atlanta,Oconee County,,
Georgia,Atlanta,Atlanta,Oglethorpe County,,
Georgia,Atlanta,Atlanta,Paulding County,,
Georgia,Atlanta,Atlanta,Pickens County,,
Georgia,Atlanta,Atlanta,Pike County,,
Georgia,Atlanta,Atlanta,Polk County,,
Georgia,Atlanta,Atlanta,Putnam County,,
Georgia,Atlanta,Atlanta,Rabun County,,
Georgia,Atlanta,Atlanta,Rockdale County,,
Georgia,Atlanta,Atlanta,Spalding County,,
Georgia,Atlanta,Atlanta,Stephens County,,
Georgia,Atlanta,Atlanta,Taliaferro County,,
Georgia,Atlanta,Atlanta,Towns County,,
Georgia,Atlanta,Atlanta,Troup County,,
Georgia,Atlanta,Atlanta,Union County,,
Georgia,Atlanta,Atlanta,Upson County,,
Georgia,Atlanta,Atlanta,Walker County,,
Georgia,Atlanta,Atlanta,Walton County,,
Georgia,Atlanta,Atlanta,Warren County,,
Georgia,Atlanta,Atlanta,White County,,
Georgia,Atlanta,Atlanta,Whitfield County,,
Georgia,Atlanta,Atlanta,Wilkes County,,
Georgia,Savannah,Savannah,Appling County,,
Georgia,Savannah,Savannah,Atkinson County,,
Georgia,Savannah,Savannah,Bacon County,,
Georgia,Savannah,Savannah,Baker County,,
Georgia,Savannah,Savannah,Ben Hill County,,
Georgia,Savannah,Savannah,Berrien County,,
Georgia,Savannah,Savannah,Bibb County,,
Georgia,Savannah,Savannah,Bleckley County,,
Georgia,Savannah,Savannah,Brantley County,,
Georgia,Savannah,Savannah,Brooks County,,
Georgia,Savannah,Savannah,Bryan County,,
Georgia,Savannah,Savannah,Bulloch County,,
Georgia,Savannah,Savannah,Burke County,,
Georgia,Savannah,Savannah,Calhoun County,,
Georgia,Savannah,Savannah,Camden County,,
Georgia,Savannah,Savannah,Candler County,,
Georgia,Savannah,Savannah,Charlton County,,
Georgia,Savannah,Savannah,Chatham County,,
Georgia,Savannah,Savannah,Chattahoochee County,,
Georgia,Savannah,Savannah,Clay County,,
Georgia,Savannah,Savannah,Clinch County,,
Georgia,Savannah,Savannah,Coffee County,,
Georgia,Savannah,Savannah,Colquitt County,,
Georgia,Savannah,Savannah,Columbia County,,
Georgia,Savannah,Savannah,Cook County,,
Georgia,Savannah,Savannah,Crawford County,,
Georgia,Savannah,Savannah,Crisp County,,
Georgia,Savannah,Savannah,Decatur County,,
Georgia,Savannah,Savannah,Dodge County,,
Georgia,Savannah,Savannah,Dooly County,,
Georgia,Savannah,Savannah,Dougherty County,,
Georgia,Savannah,Savannah,Early County,,
Georgia,Savannah,Savannah,Echols County,,
Georgia,Savannah,Savannah,Effingham County,,
Georgia,Savannah,Savannah,Emanuel County,,
Georgia,Savannah,Savannah,Evans County,,
Georgia,Savannah,Savannah,Glascock County,,
Georgia,Savannah,Savannah,Glynn County,,
Georgia,Savannah,Savannah,Grady County,,
Georgia,Savannah,Savannah,Harris County,,
Georgia,Savannah,Savannah,Houston County,,
Georgia,Savannah,Savannah,Irwin County,,
Georgia,Savannah,Savannah,Jeff Davis County,,
Georgia,Savannah,Savannah,Jefferson County,,
Georgia,Savannah,Savannah,Jenkins County,,
Georgia,Savannah,Savannah,Johnson County,,
Georgia,Savannah,Savannah,Jones County,,
Georgia,Savannah,Savannah,Lanier County,,
Georgia,Savannah,Savannah,Laurens County,,
Georgia,Savannah,Savannah,Lee County,,
Georgia,Savannah,Savannah,Liberty County,,
Georgia,Savannah,Savannah,Long County,,
Georgia,Savannah,Savannah,Lowndes County,,
Georgia,Savannah,Savannah,Macon County,,
Georgia,Savannah,Savannah,Marion County,,
Georgia,Savannah,Savannah,McIntosh County,,
Georgia,Savannah,Savannah,Miller County,,
Georgia,Savannah,Savannah,Mitchell County,,
Georgia,Savannah,Savannah,Montgomery County,,
Georgia,Savannah,Savannah,Muscogee County,,
Georgia,Savannah,Savannah,Peach County,,
Georgia,Savannah,Savannah,Pierce County,,
Georgia,Savannah,Savannah,Pulaski County,,
Georgia,Savannah,Savannah,Quitman County,,
Georgia,Savannah,Savannah,Randolph County,,
Georgia,Savannah,Savannah,Richmond County,,
Georgia,Savannah,Savannah,Schley County,,
Georgia,Savannah,Savannah,Screven County,,
Georgia,Savannah,Savannah,Seminole County,,
Georgia,Savannah,Savannah,Stewart County,,
Georgia,Savannah,Savannah,Sumter County,,
Georgia,Savannah,Savannah,Talbot County,,
Georgia,Savannah,Savannah,Tattnall County,,
Georgia,Savannah,Savannah,Taylor County,,
Georgia,Savannah,Savannah,Telfair County,,
Georgia,Savannah,Savannah,Terrell County,,
Georgia,Savannah,Savannah,Thomas County,,
Georgia,Savannah,Savannah,Tift County,,
Georgia,Savannah,Savannah,Toombs County,,
Georgia,Savannah,Savannah,Treutlen County,,
Georgia,Savannah,Savannah,Turner County,,
Georgia,Savannah,Savannah,Twiggs County,,
Georgia,Savannah,Savannah,Ware County,,
Georgia,Savannah,Savannah,Washington County,,
Georgia,Savannah,Savannah,Wayne County,,
Georgia,Savannah,Savannah,Webster County,,
Georgia,Savannah,Savannah,Wheeler County,,
Georgia,Savannah,Savannah,Wilcox County,,
Georgia,Savannah,Savannah,Wilkinson County,,
Georgia,Savannah,Savannah,Worth County,,
