"year","state","state_po","county_name","party","candidatevotes","totalvotes","percentvote"
"2000","ALABAMA","AL","ELMORE","DEMOCRAT","6652","23804","27.94"
"2000","ALABAMA","AL","ELMORE","REPUBLICAN","16777","23804","70.48"
"2000","ALABAMA","AL","ESCAMBIA","DEMOCRAT","4523","11660","38.79"
"2000","ALABAMA","AL","ESCAMBIA","REPUBLICAN","6975","11660","59.82"
"2000","ALABAMA","AL","ETOWAH","DEMOCRAT","17433","39348","44.30"
"2000","ALABAMA","AL","ETOWAH","REPUBLICAN","21087","39348","53.59"
"2000","ALABAMA","AL","FAYETTE","DEMOCRAT","3064","7808","39.24"
"2000","ALABAMA","AL","FAYETTE","REPUBLICAN","4582","7808","58.68"
"2000","ALABAMA","AL","FRANKLIN","DEMOCRAT","4793","11103","43.17"
"2000","ALABAMA","AL","FRANKLIN","REPUBLICAN","6119","11103","55.11"
"2000","ALABAMA","AL","GENEVA","DEMOCRAT","2769","9559","28.97"
"2000","ALABAMA","AL","GENEVA","REPUBLICAN","6588","9559","68.92"
"2000","ALABAMA","AL","GREENE","DEMOCRAT","3504","4396","79.71"
"2000","ALABAMA","AL","GREENE","REPUBLICAN","850","4396","19.34"
"2000","ALABAMA","AL","HALE","DEMOCRAT","4652","7731","60.17"
"2000","ALABAMA","AL","HALE","REPUBLICAN","2984","7731","38.60"
"2000","ALABAMA","AL","HENRY","DEMOCRAT","2782","6932","40.13"
"2000","ALABAMA","AL","HENRY","REPUBLICAN","4054","6932","58.48"
"2000","ALABAMA","AL","HOUSTON","DEMOCRAT","9412","32057","29.36"
"2000","ALABAMA","AL","HOUSTON","REPUBLICAN","22150","32057","69.10"
"2000","ALABAMA","AL","JACKSON","DEMOCRAT","9066","17906","50.63"
"2000","ALABAMA","AL","JACKSON","REPUBLICAN","8475","17906","47.33"
"2000","ALABAMA","AL","JEFFERSON","DEMOCRAT","129889","273763","47.45"
"2000","ALABAMA","AL","JEFFERSON","REPUBLICAN","138491","273763","50.59"
"2000","ALABAMA","AL","LAMAR","DEMOCRAT","2653","7249","36.60"
"2000","ALABAMA","AL","LAMAR","REPUBLICAN","4470","7249","61.66"
"2000","ALABAMA","AL","LAUDERDALE","DEMOCRAT","13875","32137","43.17"
"2000","ALABAMA","AL","LAUDERDALE","REPUBLICAN","17478","32137","54.39"
"2000","ALABAMA","AL","LAWRENCE","DEMOCRAT","6296","12185","51.67"
"2000","ALABAMA","AL","LAWRENCE","REPUBLICAN","5671","12185","46.54"
"2000","ALABAMA","AL","LEE","DEMOCRAT","14574","38264","38.09"
"2000","ALABAMA","AL","LEE","REPUBLICAN","22433","38264","58.63"
"2000","ALABAMA","AL","LIMESTONE","DEMOCRAT","8992","23634","38.05"
"2000","ALABAMA","AL","LIMESTONE","REPUBLICAN","14204","23634","60.10"
"2000","ALABAMA","AL","LOWNDES","DEMOCRAT","4557","6243","72.99"
"2000","ALABAMA","AL","LOWNDES","REPUBLICAN","1638","6243","26.24"
"2000","ALABAMA","AL","MACON","DEMOCRAT","7665","8831","86.80"
"2000","ALABAMA","AL","MACON","REPUBLICAN","1091","8831","12.35"
"2000","ALABAMA","AL","MADISON","DEMOCRAT","48199","113318","42.53"
"2000","ALABAMA","AL","MADISON","REPUBLICAN","62151","113318","54.85"
"2000","ALABAMA","AL","MARENGO","DEMOCRAT","4841","9608","50.39"
"2000","ALABAMA","AL","MARENGO","REPUBLICAN","4690","9608","48.81"
"2000","ALABAMA","AL","MARION","DEMOCRAT","4600","11756","39.13"
"2000","ALABAMA","AL","MARION","REPUBLICAN","6910","11756","58.78"
"2000","ALABAMA","AL","MARSHALL","DEMOCRAT","10381","27989","37.09"
